uniqid_county,NWALT92_11_county,NWALT92_12_county,NWALT92_21_county,NWALT92_22_county,NWALT92_23_county,NWALT92_24_county,NWALT92_25_county,NWALT92_26_county,NWALT92_27_county,NWALT92_31_county,NWALT92_32_county,NWALT92_33_county,NWALT92_41_county,NWALT92_43_county,NWALT92_44_county,NWALT92_45_county,NWALT92_46_county,NWALT92_50_county,NWALT92_60_county,NWALT92_9999_county
1115,3.48,0.16,1.70,1.53,0.62,0.31,0.05,4.34,1.32,0.00,15.20,0.02,0.02,0.90,35.73,1.13,1.54,31.95,0.00,0.00
1116,2.89,3.71,2.82,5.14,1.58,1.20,3.28,12.53,1.40,6.77,12.85,0.06,0.06,0.89,8.23,0.46,0.88,35.25,0.00,0.00
1117,0.49,15.08,0.66,0.31,0.03,0.01,0.00,0.18,1.15,0.00,0.42,0.02,0.00,48.47,3.48,0.08,0.94,28.68,0.00,0.00
1118,0.29,11.95,0.41,0.13,0.13,0.06,0.00,0.24,1.31,0.00,0.31,0.03,0.00,42.31,9.69,0.18,0.42,32.54,0.00,0.00
1119,1.01,10.68,0.89,0.50,0.20,0.08,0.18,1.24,0.82,0.02,4.50,0.01,0.00,25.30,5.88,0.18,1.00,47.46,0.06,0.00
1120,3.50,0.78,0.72,0.31,0.15,0.13,0.00,0.71,0.61,0.00,6.28,0.02,0.03,0.51,18.05,1.09,0.40,66.50,0.21,0.00
1121,0.34,0.01,1.40,0.85,0.37,0.18,0.00,2.83,1.55,0.00,9.83,0.06,0.01,1.23,26.38,1.87,1.17,51.91,0.00,0.00
1122,0.41,21.93,0.90,0.55,0.17,0.12,0.11,1.13,1.05,0.02,3.84,0.01,0.00,39.36,1.99,0.13,0.77,27.49,0.02,0.00
1123,0.20,0.01,0.54,0.40,0.27,0.21,0.00,1.15,0.69,0.00,16.66,0.08,0.15,0.02,7.15,0.22,0.32,71.78,0.15,0.00
1124,0.79,16.45,0.57,0.29,0.19,0.06,0.06,0.52,0.97,0.00,1.07,0.12,0.62,28.45,0.17,0.16,0.38,49.13,0.00,0.00
1125,0.93,7.49,1.52,1.19,0.26,0.23,0.30,2.16,1.57,0.98,4.74,0.03,0.03,24.51,10.42,0.32,1.58,41.75,0.00,0.00
1126,0.96,0.43,3.08,4.64,1.58,1.52,1.97,19.62,0.89,6.13,22.47,0.01,0.02,0.76,15.83,0.75,0.75,18.59,0.00,0.00
1127,0.88,14.59,1.05,1.15,0.31,0.17,0.34,1.66,1.24,0.04,4.17,0.04,0.02,42.21,1.97,0.10,0.71,29.37,0.00,0.00
1128,3.69,0.41,3.41,8.52,3.26,1.87,6.32,19.55,1.42,7.11,18.67,0.11,0.14,1.86,9.13,0.25,0.48,13.81,0.00,0.00
1129,0.19,0.05,1.53,1.41,0.59,0.55,0.19,9.03,1.15,0.34,21.10,0.00,0.01,2.63,14.02,0.50,0.23,46.38,0.11,0.00
1130,1.56,0.58,2.89,4.87,1.95,1.50,2.59,11.52,1.30,2.76,18.58,0.03,0.03,2.15,24.41,0.88,0.71,21.67,0.00,0.00
1131,0.30,15.29,0.71,0.29,0.07,0.10,0.00,0.40,0.74,0.00,0.83,0.01,0.00,36.69,0.37,0.14,0.99,43.06,0.00,0.00
1132,0.75,18.39,1.08,1.27,0.34,0.25,0.54,2.11,1.32,0.67,1.97,0.00,0.04,39.20,1.73,0.07,0.84,29.41,0.00,0.00
1133,0.93,12.36,1.08,1.18,1.03,0.31,0.19,2.78,1.16,2.10,5.84,0.02,0.01,42.22,3.83,0.14,0.88,23.95,0.00,0.00
1134,3.29,3.04,0.83,0.29,0.04,0.02,0.00,0.46,0.90,0.00,2.39,0.00,0.00,1.05,13.99,1.09,1.63,70.97,0.00,0.00
1135,0.53,0.04,1.04,0.48,0.16,0.31,0.00,2.56,1.22,0.00,12.43,0.01,0.00,0.38,4.84,0.20,0.03,75.76,0.01,0.00
1136,5.37,1.30,1.42,1.04,0.46,0.28,0.49,2.41,1.31,0.03,11.31,0.06,0.06,1.31,16.80,1.60,3.18,51.58,0.00,0.00
1137,1.28,0.60,1.63,0.70,0.27,0.32,0.00,1.51,1.49,0.00,7.36,0.03,0.00,0.79,33.71,2.31,2.19,45.81,0.00,0.00
1138,1.50,13.55,1.72,1.26,0.53,0.24,0.58,1.91,1.68,0.08,1.23,0.04,0.11,39.41,4.33,0.13,1.47,30.23,0.00,0.00
1139,1.36,0.12,1.38,2.19,0.73,0.49,1.03,6.45,1.35,2.01,12.28,0.03,0.02,1.98,30.08,1.61,1.69,35.21,0.00,0.00
