uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
724,1.14,0.00,0.14,0.07,0.07,0.07,0.08,0.62,0.26,0.01,1.17,0.01,0.01,1.03,0.75,0.80,2.32,86.67,4.78,0.00
725,0.49,0.05,0.77,0.65,0.26,0.34,0.85,1.10,0.35,0.49,4.46,0.02,0.01,1.46,0.66,1.13,13.32,68.98,4.62,0.00
726,0.09,0.00,0.59,0.28,0.35,0.09,0.28,0.70,0.61,0.03,0.64,0.10,0.02,6.70,2.76,1.73,41.38,43.65,0.00,0.00
727,0.03,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.74,2.92,1.29,32.09,62.55,0.00,0.00
728,0.01,0.00,0.50,0.02,0.13,0.02,0.00,0.00,0.24,0.00,0.00,0.00,0.44,12.95,3.52,1.47,16.64,64.05,0.00,0.00
729,0.49,0.00,0.13,0.00,0.00,0.11,0.00,0.00,0.21,0.00,0.00,0.00,0.26,2.26,3.98,1.15,59.09,32.32,0.00,0.00
730,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.01,0.17,0.98,32.34,66.38,0.04,0.00
731,0.68,0.00,0.43,0.02,0.33,0.08,0.02,0.09,0.35,0.19,0.62,0.06,0.17,3.85,1.13,0.32,4.80,86.87,0.00,0.00
732,0.32,0.10,1.57,2.41,2.54,0.88,4.02,4.29,1.31,2.90,4.92,1.11,0.05,27.26,7.54,1.52,6.83,30.44,0.00,0.00
733,4.61,0.17,1.73,1.99,1.36,0.28,1.16,7.19,0.94,2.52,6.95,0.01,0.65,8.54,23.79,4.74,4.27,29.11,0.00,0.00
734,3.51,0.00,0.51,0.55,0.11,0.34,0.52,2.06,0.44,0.25,10.15,0.01,0.04,0.16,0.41,1.33,4.87,74.73,0.00,0.00
735,1.06,0.00,0.13,0.04,0.00,0.06,0.00,0.12,0.20,0.00,2.16,0.00,0.00,0.35,0.03,0.27,5.87,89.49,0.21,0.00
736,2.25,0.01,0.32,0.17,0.04,0.20,0.03,0.43,0.63,0.01,3.67,0.08,0.09,4.99,1.83,1.38,42.25,41.63,0.00,0.00
737,0.70,0.03,0.46,0.63,0.13,0.14,0.60,2.03,0.54,1.21,4.72,0.09,0.03,0.70,2.62,2.63,15.35,67.39,0.00,0.00
738,1.90,0.02,0.13,0.04,0.04,0.06,0.03,0.41,0.28,0.17,1.76,0.00,0.00,0.17,0.35,1.03,3.27,88.79,1.54,0.00
739,0.79,0.00,0.07,0.03,0.04,0.03,0.01,0.10,0.20,0.03,0.44,0.00,0.03,0.75,0.24,0.58,0.27,91.51,4.87,0.00
740,0.20,0.00,0.20,0.08,0.01,0.02,0.17,0.28,0.19,0.08,2.16,0.00,0.00,5.65,0.98,3.87,42.45,43.65,0.00,0.00
741,24.66,0.02,1.01,0.91,0.27,0.12,1.46,4.49,0.95,0.23,8.92,0.02,0.00,5.87,1.38,1.29,3.18,41.93,3.29,0.00
742,0.15,0.00,0.20,0.03,0.01,0.02,0.02,0.09,0.39,0.12,1.20,0.00,0.00,0.91,0.03,0.05,2.26,94.51,0.00,0.00
743,0.40,0.01,0.29,0.22,0.13,0.33,0.17,2.77,0.64,0.66,18.68,0.00,0.02,2.53,0.22,1.48,2.00,69.42,0.04,0.00
744,1.30,0.09,2.27,4.22,1.69,1.49,7.74,7.64,1.83,1.40,9.39,0.15,0.02,25.53,3.47,6.69,8.32,16.76,0.00,0.00
745,0.85,0.00,0.37,0.02,0.01,0.02,0.02,0.02,0.33,0.01,1.60,0.00,0.00,1.02,0.01,0.40,1.09,94.25,0.00,0.00
746,0.96,0.13,1.03,0.45,0.31,0.31,0.88,2.30,0.85,0.05,9.98,0.01,0.00,0.04,0.76,18.57,45.78,17.60,0.00,0.00
747,1.06,0.42,1.17,2.84,0.23,2.05,6.24,6.55,0.47,7.55,2.29,0.00,0.01,0.02,0.52,1.06,22.49,45.00,0.02,0.00
748,27.13,11.07,1.82,4.35,4.84,3.52,2.89,1.16,0.89,10.15,0.92,0.02,0.00,11.38,0.47,1.70,3.25,14.46,0.00,0.00
749,0.40,0.56,2.70,6.75,4.99,2.50,14.76,5.58,0.87,4.68,4.56,0.03,0.06,7.99,9.85,3.94,25.94,3.82,0.00,0.00
750,1.40,0.04,0.87,1.53,0.58,1.50,3.89,4.69,0.56,6.00,2.69,0.00,0.01,0.22,0.04,0.04,8.16,67.68,0.10,0.00
751,1.03,0.01,11.88,17.93,6.09,13.03,38.04,2.17,1.11,7.69,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00
