uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
618,0.00,0.25,0.03,0.00,0.02,0.01,0.17,0.12,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.16,93.09,2.67,0.00
619,0.00,0.34,0.03,0.02,0.00,0.00,0.07,0.19,0.00,0.52,0.00,0.06,0.03,0.64,0.35,0.35,95.48,1.54,0.00
620,0.00,0.29,0.14,0.03,0.06,0.04,0.45,0.53,0.01,1.99,0.00,0.01,0.00,0.00,0.02,0.72,93.44,1.12,0.00
621,0.02,0.33,0.12,0.02,0.09,0.05,0.41,0.33,0.01,0.55,0.01,0.02,0.00,0.02,0.18,2.55,85.85,1.90,0.00
622,0.00,0.28,0.01,0.00,0.00,0.00,0.06,0.08,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.12,95.93,1.08,0.00
623,0.00,0.23,0.08,0.04,0.03,0.01,0.38,0.67,0.01,2.39,0.01,0.01,0.03,0.03,0.19,1.34,93.59,0.67,0.00
624,0.00,0.08,0.05,0.00,0.02,0.00,0.07,0.08,0.00,0.10,0.00,0.01,0.01,0.03,0.03,3.02,72.13,24.02,0.00
625,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.09,0.00,0.00,0.00,7.30,91.02,1.49,0.00
626,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.34,66.05,32.42,0.00
627,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.17,80.95,18.44,0.00
