uniqid_county,NLCD06_11_county,NLCD06_12_county,NLCD06_21_county,NLCD06_22_county,NLCD06_23_county,NLCD06_24_county,NLCD06_31_county,NLCD06_41_county,NLCD06_42_county,NLCD06_43_county,NLCD06_52_county,NLCD06_71_county,NLCD06_81_county,NLCD06_82_county,NLCD06_90_county,NLCD06_95_county,NLCD06_9999_county
781,2.64,0.00,3.41,1.19,0.18,0.05,0.07,0.67,11.64,6.55,5.08,1.64,1.71,49.84,13.09,2.25,0.00
782,4.34,0.00,3.60,0.43,0.13,0.04,0.11,0.30,0.06,0.89,0.29,0.01,0.19,61.74,27.17,0.68,0.00
783,3.14,0.00,4.28,3.81,0.53,0.16,0.13,6.33,40.12,9.33,12.73,1.15,6.33,0.24,11.47,0.24,0.00
784,1.62,0.00,3.66,1.88,0.15,0.04,0.01,3.95,52.59,4.54,14.38,2.84,2.16,0.11,11.83,0.24,0.00
785,1.71,0.00,3.42,2.57,0.14,0.03,0.01,4.09,55.64,8.19,9.43,0.18,3.97,0.17,10.41,0.02,0.00
786,3.75,0.00,2.68,2.97,0.15,0.03,0.01,4.77,42.59,6.94,9.55,1.80,3.91,0.31,19.17,1.37,0.00
787,2.69,0.00,3.59,1.05,0.07,0.02,0.02,1.92,32.94,4.26,9.60,1.75,0.56,12.87,27.68,0.98,0.00
788,4.13,0.00,3.37,3.86,1.17,0.46,0.11,8.42,28.97,9.31,11.07,1.52,10.75,2.09,14.26,0.51,0.00
789,2.76,0.00,4.30,0.39,0.12,0.04,0.03,1.53,1.85,4.82,0.30,0.02,0.00,67.80,15.61,0.43,0.00
790,0.97,0.00,2.56,1.07,0.10,0.04,0.03,3.06,59.43,4.00,10.32,1.73,1.04,0.06,15.29,0.31,0.00
791,5.85,0.00,6.30,6.65,2.15,0.95,0.17,8.31,16.05,11.61,9.09,0.93,9.98,7.71,13.89,0.37,0.00
792,1.96,0.00,3.82,1.77,0.21,0.08,0.03,5.45,55.37,2.95,11.28,2.53,1.52,0.09,12.72,0.23,0.00
793,0.31,0.00,4.59,0.48,0.08,0.03,0.01,0.36,2.48,1.83,0.96,0.00,0.93,76.06,11.74,0.14,0.00
794,5.33,0.00,3.80,0.18,0.04,0.01,0.13,0.75,0.10,1.90,0.10,0.02,0.03,55.94,30.63,1.05,0.00
795,1.28,0.00,2.43,1.22,0.19,0.04,0.47,7.06,28.00,12.12,16.81,5.28,8.28,0.98,14.98,0.84,0.00
796,4.36,0.00,7.26,6.01,1.80,0.64,0.09,5.51,16.41,7.61,7.91,1.07,1.75,15.74,21.99,1.84,0.00
797,0.54,0.00,3.92,4.25,0.65,0.20,0.05,5.81,43.35,6.04,12.15,1.53,5.53,0.44,15.47,0.06,0.00
798,1.75,0.00,5.95,0.61,0.15,0.04,0.01,0.74,0.75,4.24,0.16,0.02,0.04,69.12,15.23,1.20,0.00
799,2.97,0.00,3.43,0.36,0.08,0.01,0.15,46.73,6.98,8.36,10.38,0.47,6.02,2.15,11.57,0.33,0.00
800,1.76,0.00,4.38,0.78,0.20,0.05,0.02,12.07,7.59,4.55,9.16,1.55,24.87,9.23,20.73,3.05,0.00
801,0.35,0.00,3.92,0.25,0.07,0.03,0.33,26.62,19.09,11.40,13.30,2.61,7.20,2.25,11.79,0.80,0.00
802,5.97,0.00,5.36,1.16,0.49,0.21,0.24,0.04,0.01,0.05,0.09,0.01,0.37,69.04,16.63,0.32,0.00
803,1.04,0.00,2.53,0.78,0.11,0.02,0.01,32.04,10.61,7.56,17.37,0.92,10.03,11.98,4.63,0.36,0.00
804,0.85,0.00,4.11,0.67,0.13,0.03,0.06,7.92,33.28,21.26,11.52,5.37,7.44,0.57,6.70,0.08,0.00
805,0.58,0.00,3.87,0.96,0.24,0.04,0.01,11.46,22.99,20.85,12.43,2.65,13.99,1.07,8.79,0.07,0.00
806,0.52,0.00,3.90,0.93,0.26,0.08,0.01,8.14,28.51,12.04,7.86,1.41,17.27,1.56,17.15,0.38,0.00
807,2.14,0.00,3.75,0.30,0.07,0.01,0.00,0.03,0.00,0.07,0.14,0.00,0.20,59.30,33.84,0.15,0.00
808,0.74,0.00,2.89,0.71,0.10,0.03,0.05,12.24,24.76,18.92,12.88,4.30,8.88,0.33,13.09,0.09,0.00
809,2.49,0.00,3.16,0.64,0.10,0.01,0.02,9.64,13.68,6.13,6.85,2.16,18.02,16.99,18.29,1.81,0.00
810,3.69,0.00,3.51,0.59,0.22,0.07,0.38,0.09,0.01,0.10,0.04,0.12,1.16,74.34,15.47,0.20,0.00
811,0.68,0.00,5.02,0.70,0.29,0.09,0.01,18.70,16.63,12.16,11.15,1.33,18.85,0.32,13.45,0.63,0.00
812,8.43,0.00,5.31,1.10,0.41,0.12,0.11,29.07,6.68,3.79,9.10,0.53,9.86,10.48,12.88,2.11,0.00
813,0.61,0.00,3.76,0.84,0.13,0.04,0.32,20.54,22.21,17.10,12.49,2.56,12.29,1.08,5.97,0.06,0.00
814,0.52,0.00,4.26,0.55,0.11,0.02,0.01,28.59,15.99,9.64,12.50,1.63,9.90,7.29,8.23,0.78,0.00
815,1.21,0.00,3.72,0.43,0.08,0.01,0.07,30.01,6.44,3.03,8.71,0.34,5.10,26.45,13.93,0.47,0.00
816,0.52,0.00,3.22,0.60,0.08,0.03,0.01,6.96,28.81,21.09,10.18,2.66,12.22,0.65,12.88,0.09,0.00
817,0.84,0.00,4.07,1.93,0.42,0.12,0.01,22.45,11.07,6.24,13.38,0.93,18.73,12.97,5.76,1.08,0.00
818,6.67,0.00,6.12,0.63,0.23,0.07,0.01,0.09,0.03,0.14,0.08,0.00,0.46,77.02,8.13,0.32,0.00
819,0.55,0.00,4.06,0.57,0.16,0.05,0.04,19.75,20.34,11.88,10.88,1.78,13.65,1.25,14.19,0.83,0.00
820,5.40,0.00,5.17,1.02,0.51,0.21,0.24,37.84,0.46,1.74,4.48,0.19,2.23,12.42,27.48,0.61,0.00
821,2.29,0.00,4.72,1.63,0.23,0.06,0.11,18.85,3.54,1.52,15.28,0.21,29.04,15.66,5.65,1.22,0.00
822,1.48,0.00,4.91,0.29,0.09,0.02,0.05,0.07,0.07,0.11,0.00,0.00,0.05,78.00,14.45,0.40,0.00
823,1.07,0.00,3.80,1.80,0.28,0.09,0.03,17.36,12.70,5.64,15.43,1.30,17.38,18.25,4.07,0.81,0.00
824,1.43,0.00,4.19,1.95,0.39,0.14,0.00,20.04,14.43,9.00,13.75,2.57,11.36,14.03,6.07,0.66,0.00
825,2.35,0.00,4.74,0.38,0.10,0.03,0.09,26.59,2.49,1.12,4.93,0.09,9.77,32.32,14.40,0.59,0.00
826,1.36,0.00,7.53,4.10,1.71,0.66,0.07,23.52,6.42,7.63,12.52,0.73,19.49,6.28,7.81,0.18,0.00
