uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
7074,0.9,0.1,0.1,6.0,1.4,0.4,0.1,0.1,0.1,0.0
7075,556.1,991.2,1009.3,824.3,819.7,1170.3,1347.6,820.9,700.2,489.5
7076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7077,25.8,33.2,13.9,16.0,43.2,10.3,15.4,14.3,14.3,20.0
7078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0
7080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7082,161.0,215.0,166.2,298.9,274.4,351.2,491.0,449.9,205.9,243.5
7083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7084,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.5,0.5
7085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7086,9.3,24.7,26.6,74.7,22.4,23.6,26.6,13.7,11.3,10.2
7087,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
7088,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.2,0.2,0.1
7089,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7090,33.6,59.6,59.4,306.0,160.9,135.0,123.9,173.1,118.3,363.2
7091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7092,22.0,33.4,18.0,30.7,34.3,1.3,19.2,7.9,8.3,7.6
7093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7094,0.2,0.4,0.4,0.3,0.3,0.1,0.1,0.9,0.5,0.9
7095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7096,0.3,0.9,1.0,0.7,2.9,0.3,0.1,0.0,0.0,0.0
7097,2.6,13.3,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0
7098,0.4,0.4,0.7,0.9,1.0,1.4,2.9,1.2,1.0,3.3
7099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7100,1.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7101,88.0,224.2,265.3,640.2,554.6,592.9,440.3,367.2,221.8,362.3
7102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
