uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
6023,1.2387,1.0789,1.4398,1.1426,1.1863,1.3478,1.6276,1.3447,2.0567,1.0899,1.4144,0.8138,0.9835,1.4623,1.1393,1.3607,0.8441,0.9426,1.1235,1.1322,1.5452,1.0075,0.8551,0.8839,1.2326,2.2256,1.0041,1.8799
6024,2.5221,3.8482,3.1828,2.6257,4.2696,2.5646,3.0955,3.2468,4.3057,2.0895,4.1838,3.9461,1.9973,4.1991,4.9535,2.6336,2.1949,3.5483,1.8229,1.4848,2.3253,1.9351,1.0611,1.1039,1.6647,2.1500,1.9173,2.6315
6025,3.6225,2.7298,4.0650,3.5254,2.4950,3.3343,2.4689,3.8039,3.1939,3.1924,2.9657,3.0789,3.8113,3.4781,2.4483,3.0336,2.6194,1.5953,1.7566,2.0789,3.0656,2.3713,1.6772,1.8383,2.1327,2.3224,1.8816,1.9950
6026,1.1484,1.2988,1.2433,0.8476,0.9575,1.0282,1.5303,1.5811,1.4637,0.7533,1.0858,0.6861,0.8269,1.3089,1.2128,0.7229,0.5966,0.4840,0.4996,0.8744,1.8723,0.8154,0.7114,0.6679,1.2125,0.8376,1.0709,0.8593
6027,1.6653,3.8191,2.9110,1.8194,2.6318,1.7787,2.9186,3.3072,3.7924,1.6065,3.9031,3.6957,1.9442,4.2944,4.5644,2.5731,2.3870,4.1860,3.0660,2.9741,3.5600,3.1819,1.2324,1.1739,2.0891,3.0201,2.4259,2.3743
6028,1.4591,0.9749,1.2660,1.0203,1.1766,1.1959,1.6329,1.0858,2.2371,1.0744,1.7653,0.9005,0.8874,1.4688,1.1823,1.2053,0.7362,0.9439,0.9446,0.9267,1.6006,0.9439,0.7585,0.7488,1.0561,1.5835,1.0257,1.5464
6029,3.3001,3.4682,3.1341,2.5448,4.7434,3.4010,2.4646,2.9395,3.6600,3.0731,3.7251,2.8088,3.3395,3.3301,2.9176,2.8661,1.8416,2.2919,2.0491,2.1058,2.6368,2.1804,1.8282,1.6075,1.8093,1.8165,1.5643,1.5382
6030,1.2042,1.1823,0.8750,0.8945,2.1039,1.1097,1.0716,0.9124,1.7003,0.9074,2.0573,1.1776,0.9025,1.5420,1.3496,1.0333,0.6617,0.9439,0.8062,0.9941,1.6540,1.4913,0.7401,0.7936,1.6379,0.9439,0.7341,1.1471
6031,1.1260,0.6038,1.2754,1.0444,1.6997,1.1330,1.1662,1.0912,1.8238,1.1467,1.5895,1.0406,0.8887,1.3460,1.0811,0.9827,0.6473,1.0089,0.9503,0.6516,1.1523,0.9713,0.5514,0.5265,0.9452,0.9389,0.6545,0.7471
6032,2.5557,2.2234,3.1904,3.0848,2.3733,2.8914,1.9765,2.6884,2.6161,2.7246,2.1482,1.6509,2.6829,3.0528,1.9754,2.4719,1.6793,1.2756,1.4823,2.0662,2.8892,2.0188,1.4537,1.4928,1.4978,2.1868,1.7163,1.5498
6033,0.9472,1.5658,1.9825,1.7936,0.9457,1.4344,1.3162,1.4949,0.9736,0.8792,1.3607,0.7990,0.9116,1.8155,1.7092,0.8004,1.0170,0.8877,0.9160,0.7892,0.9032,0.7711,0.4581,0.3577,0.4094,0.6779,0.4704,0.5807
6034,3.0811,1.8081,1.9241,2.2261,3.7015,2.1224,2.8919,1.6412,4.1419,2.3424,3.3959,2.1659,2.1048,2.5602,2.1854,2.1071,1.5721,2.4086,1.8947,1.9917,2.6793,3.2747,2.0093,2.3341,3.0916,2.8560,2.0830,2.5622
6035,4.0173,3.5086,2.8315,3.6449,4.0998,4.0201,3.6293,2.8648,5.0881,2.9646,5.4758,3.3170,2.5596,3.7867,3.8916,3.6939,2.2398,3.6541,3.2662,3.0952,4.0737,4.7146,2.7015,3.1639,5.2227,3.7722,2.9222,5.2479
6036,2.2349,2.0746,2.2140,2.3563,2.4185,2.0504,2.7014,2.0961,3.1673,1.7394,2.2011,1.5903,1.3381,2.2370,2.1041,1.7554,1.6299,1.2534,1.5470,1.6402,2.1807,1.2928,1.1081,1.3341,1.6981,2.6046,1.3693,1.9409
6037,1.0361,1.4555,1.2219,1.2082,1.6329,1.0028,0.8814,0.8397,1.0137,0.8757,1.3355,2.0292,0.8075,1.2731,1.7917,0.6668,0.6235,0.8415,0.7670,0.3986,0.5529,0.9017,0.3257,0.3484,0.5297,0.8189,0.8276,0.8965
6038,2.7226,2.0339,2.1531,2.7279,4.5383,2.4670,2.8827,2.0951,4.5766,2.9103,4.1686,3.1890,3.1648,3.2975,3.3351,2.2711,1.9039,3.0788,2.3565,1.9893,2.8716,2.8674,1.9182,1.9421,2.6262,2.4153,2.0992,1.9419
6039,3.8929,4.2931,3.7228,4.0488,4.2941,3.1421,2.8769,2.3151,3.7175,2.4816,3.0239,3.7257,1.7740,3.7722,4.2100,2.3196,2.4147,2.4341,2.8047,1.6859,2.5269,3.7146,1.2486,1.4294,2.4253,2.7761,2.9571,2.4401
6040,0.7934,0.5725,1.4620,1.0650,0.7258,0.8925,0.8402,0.8021,0.6941,0.7649,0.8796,0.5787,0.8105,1.2604,0.9161,0.6254,0.7464,0.6621,0.7500,0.4480,0.5736,0.7105,0.4476,0.3487,0.6034,0.6148,0.5426,0.6982
6041,0.7730,0.5011,0.7137,0.5951,0.7827,0.6869,0.5593,0.4512,0.6538,0.4659,0.6766,0.6755,0.4404,0.8200,0.7193,0.3543,0.2716,0.4063,0.3827,0.2898,0.3477,0.4624,0.1474,0.2017,0.3252,0.4211,0.3884,0.2660
6042,3.4317,3.9717,3.7244,3.9397,3.4031,3.4683,2.7053,1.7262,3.5977,1.9957,2.3138,2.2243,1.2877,3.4594,2.7407,2.0536,2.4219,2.1495,2.5283,1.7527,2.9249,3.8430,1.0370,1.6850,2.5720,2.6363,2.8863,1.9237
