uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1637,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000
1638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1639,0.0446,0.0516,0.0662,0.0425,0.0105,0.0446,0.0516,0.0662,0.0425,0.0105
1640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1642,0.0163,0.0128,0.0148,0.0071,0.0002,0.0109,0.0113,0.0148,0.0071,0.0002
1643,0.5927,1.1567,0.1572,0.0264,0.0069,0.0043,1.0019,0.0719,0.0001,0.0017
1644,0.0305,0.0240,0.0099,1.3935,0.0107,0.0003,0.0005,0.0099,1.3935,0.0000
1645,0.5360,0.3977,0.2016,0.1206,0.0071,0.0065,0.0884,0.2016,0.0000,0.0000
1646,0.6359,0.3513,0.8403,0.4025,0.0046,0.1655,0.2138,0.7408,0.2808,0.0046
1647,0.0055,0.0365,0.0062,0.0028,0.0004,0.0001,0.0349,0.0000,0.0007,0.0004
1648,0.0281,0.2941,0.4466,0.1423,0.0032,0.0218,0.2912,0.4446,0.1398,0.0030
1649,0.0002,0.0001,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000
1650,0.0534,0.5440,0.0242,0.0349,0.1135,0.0000,0.0000,0.0000,0.0000,0.0000
1651,0.2291,2.9231,0.0848,0.2175,0.3043,0.0047,0.0262,0.0109,0.1555,0.0020
1652,0.0008,0.0161,0.0004,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1653,0.0920,0.1046,0.1031,0.0524,0.0158,0.0920,0.1046,0.1031,0.0524,0.0158
1654,0.0918,0.6699,0.0321,0.0373,0.2925,0.0000,0.0000,0.0000,0.0000,0.0000
1655,0.0008,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1656,0.4953,0.2822,0.2100,0.0777,0.0059,0.0003,0.0018,0.2097,0.0000,0.0000
1657,0.0304,0.1547,0.0084,0.0203,0.1601,0.0000,0.0000,0.0000,0.0000,0.0000
1658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1659,0.0551,0.0864,0.0783,0.1504,0.0673,0.0551,0.0864,0.0783,0.1504,0.0673
1660,0.0128,0.0361,0.0384,0.0351,0.0009,0.0021,0.0006,0.0206,0.0351,0.0000
1661,0.0000,0.0000,0.0003,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000
1662,0.1287,1.0172,0.1006,0.2161,0.0606,0.0144,0.0264,0.0000,0.0000,0.0000
1663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1664,0.0000,0.0001,0.0008,0.0009,0.0001,0.0000,0.0001,0.0000,0.0005,0.0000
1665,2.7873,6.7288,0.6477,0.1281,0.0296,0.0236,6.2838,0.4323,0.0008,0.0047
1666,1.2283,3.1946,2.9921,5.8489,4.6425,1.2283,3.1946,2.9921,5.8489,4.6425
1667,0.9571,1.1871,2.9030,1.1010,0.0226,0.7900,1.1244,2.7858,1.1000,0.0226
1668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1670,0.0992,1.0640,0.0689,0.1001,0.2084,0.0000,0.0000,0.0000,0.0000,0.0000
1671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1672,0.0015,0.0041,0.0004,0.0004,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000
1673,0.0079,0.0169,0.0009,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1674,0.0061,0.0035,0.0015,0.0009,0.0007,0.0060,0.0001,0.0002,0.0000,0.0007
1675,0.0543,0.1840,0.0234,1.6624,0.0428,0.0012,0.1535,0.0082,1.6624,0.0047
1676,1.4459,4.1453,3.7760,8.7103,6.5033,1.4459,4.1453,3.7760,8.7103,6.5033
1677,0.2391,0.2765,0.3178,0.2040,0.0544,0.2391,0.2765,0.3178,0.2040,0.0544
1678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1679,0.2575,2.9118,0.6288,0.0720,0.0158,0.0000,0.0005,0.6228,0.0000,0.0158
1680,0.0735,0.1859,0.0565,0.1111,0.0533,0.0280,0.0971,0.0435,0.0000,0.0533
1681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1682,0.3389,0.2291,0.0095,0.0012,0.0006,0.0017,0.0022,0.0000,0.0000,0.0006
1683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1684,0.0030,0.0048,0.0066,0.0131,0.0059,0.0030,0.0048,0.0066,0.0131,0.0059
1685,0.0783,0.0679,0.0350,0.0366,0.0017,0.0003,0.0018,0.0350,0.0000,0.0000
1686,0.0938,0.1975,0.2135,0.2854,0.2803,0.0938,0.1975,0.2135,0.2854,0.2803
1687,0.0011,0.0018,0.0070,0.0028,0.0003,0.0001,0.0000,0.0000,0.0052,0.0001
1688,0.0156,0.1981,0.1239,0.2150,0.0023,0.0000,0.0001,0.0010,0.0000,0.0023
1689,0.0001,0.0001,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
1690,0.2903,0.2076,0.2260,0.0877,0.0031,0.0032,0.0579,0.0000,0.0000,0.0031
1691,0.1044,0.0883,0.0104,0.0036,0.0001,0.0003,0.0009,0.0001,0.0000,0.0001
1692,0.0002,0.0020,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1693,0.1773,0.1356,0.0173,0.0752,0.0921,0.0594,0.1051,0.0075,0.0599,0.0838
1694,0.1308,0.2676,0.0534,0.0444,0.0868,0.0275,0.1506,0.0370,0.0360,0.0426
1695,0.1032,1.0000,0.0563,0.0830,0.2080,0.0000,0.0000,0.0000,0.0000,0.0000
1696,0.0002,0.0016,0.0004,0.0103,0.0001,0.0000,0.0005,0.0000,0.0103,0.0000
1697,0.0028,0.0269,0.0189,0.0049,0.0021,0.0017,0.0114,0.0180,0.0000,0.0021
1698,0.0017,0.0016,0.0008,0.0005,0.0000,0.0000,0.0002,0.0008,0.0000,0.0000
1699,0.1259,0.0696,0.2201,0.1055,0.0013,0.0327,0.0423,0.1941,0.0736,0.0013
1700,0.0147,0.0360,0.0017,0.1664,0.0157,0.0000,0.0128,0.0005,0.1664,0.0003
1701,0.0251,0.0312,0.0763,0.0289,0.0006,0.0207,0.0295,0.0732,0.0289,0.0006
1702,0.0000,0.0011,0.0044,0.0014,0.0001,0.0000,0.0000,0.0000,0.0014,0.0000
1703,0.0398,0.2741,0.0084,0.0025,0.0003,0.0000,0.0000,0.0084,0.0000,0.0000
1704,0.1722,0.1827,0.1743,0.0456,0.0051,0.1722,0.1827,0.1743,0.0456,0.0051
1705,0.0434,0.2447,0.0113,0.0219,0.2801,0.0000,0.0000,0.0000,0.0000,0.0000
1706,0.0086,0.0079,0.0053,0.0045,0.0056,0.0031,0.0041,0.0035,0.0000,0.0044
1707,0.0280,0.2466,0.0137,0.0040,0.0502,0.0000,0.0004,0.0000,0.0000,0.0000
1708,0.8886,0.9985,0.8766,0.2354,0.0253,0.8873,0.9979,0.8762,0.2349,0.0253
1709,0.1666,0.2804,0.1213,0.3122,0.0963,0.0495,0.0804,0.0972,0.0000,0.0963
1710,0.0024,0.0038,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
1711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1713,0.0076,0.0768,0.0072,0.0138,0.0051,0.0000,0.0010,0.0006,0.0000,0.0051
1714,0.0007,0.0006,0.0010,0.0011,0.0006,0.0000,0.0002,0.0000,0.0003,0.0000
1715,0.0078,0.2542,0.0233,0.0231,0.0004,0.0074,0.0048,0.0000,0.0000,0.0004
1716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1717,0.0000,0.0002,0.0007,0.0009,0.0001,0.0000,0.0002,0.0000,0.0005,0.0000
1718,0.0188,0.0145,0.0050,0.0024,0.0001,0.0185,0.0001,0.0017,0.0000,0.0000
1719,0.0740,0.0856,0.1146,0.0736,0.0237,0.0740,0.0856,0.1146,0.0736,0.0237
